ID,Title,"Post Type",district_code,province_id
1359,"Huyện Gio Linh",district,,397
1360,"Huyện Đa Krông",district,,397
1361,"Huyện Cam Lộ",district,,397
1362,"Huyện Triệu Phong",district,,397
1363,"Huyện Hải Lăng",district,,397
1364,Huế,district,,401
1365,"Huyện Phong Điền",district,,382
1366,"Huyện Quảng Điền",district,,401
1367,"Huyện Phú Vang",district,,401
1368,"Thị xã Hương Thủy",district,,401
1369,"Thị xã Hương Trà",district,,401
1370,"Huyện A Lưới",district,,401
1371,"Huyện Phú Lộc",district,,401
1372,"Huyện Nam Đông",district,,401
1373,"Quận Liên Chiểu",district,,408
1374,"Quận Thanh Khê",district,,408
1375,"Quận Hải Châu",district,,408
1376,"Quận Sơn Trà",district,,408
1377,"Quận Ngũ Hành Sơn",district,,408
1378,"Quận Cẩm Lệ",district,,408
1379,"Huyện Hòa Vang",district,,408
1380,"Tam Kỳ",district,,372
1381,"Hội An",district,,372
1382,"Huyện Tây Giang",district,,372
1383,"Huyện Đông Giang",district,,372
1384,"Huyện Đại Lộc",district,,372
1385,"Thị xã Điện Bàn",district,,372
1386,"Huyện Duy Xuyên",district,,372
1387,"Huyện Quế Sơn",district,,372
1388,"Huyện Nam Giang",district,,372
1389,"Huyện Phước Sơn",district,,372
1390,"Huyện Hiệp Đức",district,,372
1391,"Huyện Thăng Bình",district,,372
1392,"Huyện Tiên Phước",district,,372
1393,"Huyện Bắc Trà My",district,,372
1394,"Huyện Nam Trà My",district,,372
1395,"Huyện Núi Thành",district,,372
1396,"Huyện Nông Sơn",district,,372
1397,"Quảng Ngãi",district,,373
1398,"Huyện Bình Sơn",district,,373
1399,"Huyện Trà Bồng",district,,373
1400,"Huyện Tây Trà",district,,373
1401,"Huyện Sơn Tịnh",district,,373
1402,"Huyện Tư Nghĩa",district,,373
1403,"Huyện Sơn Hà",district,,373
1404,"Huyện Sơn Tây",district,,373
1405,"Huyện Minh Long",district,,373
1406,"Huyện Nghĩa Hành",district,,373
1407,"Huyện Mộ Đức",district,,373
1408,"Huyện Đức Phổ",district,,373
1409,"Huyện Ba Tơ",district,,373
1410,"Huyện Lý Sơn",district,,373
1411,"Qui Nhơn",district,,380
1412,"Huyện Hoài Nhơn",district,,380
1413,"Huyện Hoài Ân",district,,380
1414,"Huyện Phù Mỹ",district,,380
1415,"Huyện Vĩnh Thạnh",district,,382
1416,"Huyện Tây Sơn",district,,380
1417,"Huyện Phù Cát",district,,380
1418,"Thị xã An Nhơn",district,,380
1419,"Huyện Tuy Phước",district,,380
1420,"Huyện Vân Canh",district,,380
1421,"Tuy Hoà",district,,395
1422,"Thị xã Sông Cầu",district,,395
1423,"Huyện Đồng Xuân",district,,395
1424,"Huyện Tuy An",district,,395
1425,"Huyện Sơn Hòa",district,,395
1426,"Huyện Sông Hinh",district,,395
1427,"Huyện Tây Hoà",district,,395
1428,"Huyện Phú Hoà",district,,395
1429,"Huyện Đông Hòa",district,,395
1430,"Nha Trang",district,,387
1431,"Cam Ranh",district,,387
1432,"Huyện Cam Lâm",district,,387
1433,"Huyện Vạn Ninh",district,,387
1434,"Thị xã Ninh Hòa",district,,387
1435,"Huyện Khánh Vĩnh",district,,387
1436,"Huyện Diên Khánh",district,,387
1437,"Huyện Khánh Sơn",district,,387
1438,"Huyện Trường Sa",district,,387
1439,"Phan Rang-Tháp Chàm",district,,393
1440,"Huyện Bác Ái",district,,393
1441,"Huyện Ninh Sơn",district,,393
1442,"Huyện Ninh Hải",district,,393
1443,"Huyện Ninh Phước",district,,393
1444,"Huyện Thuận Bắc",district,,393
1445,"Huyện Thuận Nam",district,,393
1446,"Phan Thiết",district,,370
1447,"Thị xã La Gi",district,,370
1448,"Huyện Tuy Phong",district,,370
1449,"Huyện Bắc Bình",district,,370
1450,"Huyện Hàm Thuận Bắc",district,,370
1451,"Huyện Hàm Thuận Nam",district,,370
1452,"Huyện Tánh Linh",district,,370
1453,"Huyện Đức Linh",district,,370
1454,"Huyện Hàm Tân",district,,370
1455,"Huyện Phú Quí",district,,370
1456,"Kon Tum",district,,388
1457,"Huyện Đắk Glei",district,,388
1458,"Huyện Ngọc Hồi",district,,388
1459,"Huyện Đắk Tô",district,,388
1460,"Huyện Kon Plông",district,,388
1461,"Huyện Kon Rẫy",district,,388
1462,"Huyện Đắk Hà",district,,388
1463,"Huyện Sa Thầy",district,,388
1464,"Huyện Tu Mơ Rông",district,,388
1465,"Huyện Ia H' Drai",district,,388
1466,Pleiku,district,,383
1467,"Thị xã An Khê",district,,383
1468,"Thị xã Ayun Pa",district,,383
1469,"Huyện KBang",district,,383
1470,"Huyện Đăk Đoa",district,,383
1471,"Huyện Chư Păh",district,,383
1472,"Huyện Ia Grai",district,,383
1473,"Huyện Mang Yang",district,,383
1474,"Huyện Kông Chro",district,,383
1475,"Huyện Đức Cơ",district,,383
1476,"Huyện Chư Prông",district,,383
1477,"Huyện Chư Sê",district,,383
1478,"Huyện Đăk Pơ",district,,383
1479,"Huyện Ia Pa",district,,383
1480,"Huyện Krông Pa",district,,383
1481,"Huyện Phú Thiện",district,,383
1482,"Huyện Chư Pưh",district,,383
1483,"Buôn Ma Thuột",district,,405
1484,"Thị Xã Buôn Hồ",district,,405
1485,"Huyện Ea H'leo",district,,405
1486,"Huyện Ea Súp",district,,405
1487,"Huyện Buôn Đôn",district,,405
1488,"Huyện Cư M'gar",district,,405
1489,"Huyện Krông Búk",district,,405
1490,"Huyện Krông Năng",district,,405
1491,"Huyện Ea Kar",district,,405
1492,"Huyện M'Đrắk",district,,405
1493,"Huyện Krông Bông",district,,405
1494,"Huyện Krông Pắc",district,,405
1495,"Huyện Krông A Na",district,,405
1496,"Huyện Lắk",district,,405
1497,"Huyện Cư Kuin",district,,405
1498,"Thị xã Gia Nghĩa",district,,409
1499,"Huyện Đăk Glong",district,,409
1500,"Huyện Cư Jút",district,,409
1501,"Huyện Đắk Mil",district,,409
1502,"Huyện Krông Nô",district,,409
1503,"Huyện Đắk Song",district,,409
1504,"Huyện Đắk R'Lấp",district,,409
1505,"Huyện Tuy Đức",district,,409
1506,"Đà Lạt",district,,390
1507,"Bảo Lộc",district,,390
1508,"Huyện Đam Rông",district,,390
1509,"Huyện Lạc Dương",district,,390
1510,"Huyện Lâm Hà",district,,390
1511,"Huyện Đơn Dương",district,,390
1512,"Huyện Đức Trọng",district,,390
1513,"Huyện Di Linh",district,,390
1514,"Huyện Đạ Huoai",district,,390
1515,"Huyện Đạ Tẻh",district,,390
1516,"Huyện Cát Tiên",district,,390
1517,"Thị xã Phước Long",district,,377
1518,"Thị xã Đồng Xoài",district,,377
1519,"Thị xã Bình Long",district,,377
1520,"Huyện Bù Gia Mập",district,,377
1521,"Huyện Lộc Ninh",district,,377
1522,"Huyện Bù Đốp",district,,377
1523,"Huyện Hớn Quản",district,,377
1524,"Huyện Đồng Phú",district,,377
1525,"Huyện Bù Đăng",district,,377
1526,"Huyện Chơn Thành",district,,377
1527,"Huyện Phú Riềng",district,,377
1528,"Tây Ninh",district,,402
1529,"Huyện Tân Biên",district,,402
1530,"Huyện Tân Châu",district,,402
1531,"Huyện Dương Minh Châu",district,,402
1532,"Huyện Châu Thành",district,,399
1533,"Huyện Hòa Thành",district,,402
1534,"Huyện Gò Dầu",district,,402
1535,"Huyện Bến Cầu",district,,402
1536,"Huyện Trảng Bàng",district,,402
1537,"Thủ Dầu Một",district,,375
1538,"Huyện Bàu Bàng",district,,375
1539,"Huyện Dầu Tiếng",district,,375
1540,"Thị xã Bến Cát",district,,375
1541,"Huyện Phú Giáo",district,,375
1542,"Thị xã Tân Uyên",district,,375
1543,"Thị xã Dĩ An",district,,375
1544,"Thị xã Thuận An",district,,375
1545,"Huyện Bắc Tân Uyên",district,,375
1546,"Biên Hòa",district,,406
1547,"Thị xã Long Khánh",district,,406
1548,"Huyện Tân Phú",district,,406
1549,"Huyện Vĩnh Cửu",district,,406
1550,"Huyện Định Quán",district,,406
1551,"Huyện Trảng Bom",district,,406
1552,"Huyện Thống Nhất",district,,406
1553,"Huyện Cẩm Mỹ",district,,406
1554,"Huyện Long Thành",district,,406
1555,"Huyện Xuân Lộc",district,,406
1556,"Huyện Nhơn Trạch",district,,406
1557,"Vũng Tàu",district,,379
1558,"Bà Rịa",district,,379
1559,"Huyện Châu Đức",district,,379
1560,"Huyện Xuyên Mộc",district,,379
1561,"Huyện Long Điền",district,,379
1562,"Huyện Đất Đỏ",district,,379
1563,"Huyện Tân Thạnh",district,,389
1564,"Quận 1",district,,398
1565,"Quận 12",district,,398
1566,"Quận Thủ Đức",district,,398
1567,"Quận 9",district,,398
1568,"Quận Gò Vấp",district,,398
1569,"Quận Bình Thạnh",district,,398
1570,"Quận Tân Bình",district,,398
1571,"Quận Tân Phú",district,,398
1572,"Quận Phú Nhuận",district,,398
1573,"Quận 2",district,,398
1574,"Quận 3",district,,398
1575,"Quận 10",district,,398
1576,"Quận 11",district,,398
1577,"Quận 4",district,,398
1578,"Quận 5",district,,398
1579,"Quận 6",district,,398
1580,"Quận 8",district,,398
1581,"Quận Bình Tân",district,,398
1582,"Quận 7",district,,398
1583,"Huyện Củ Chi",district,,398
1584,"Huyện Hóc Môn",district,,398
1585,"Huyện Bình Chánh",district,,398
1586,"Huyện Nhà Bè",district,,398
1587,"Huyện Cần Giờ",district,,398
1588,"Tân An",district,,389
1589,"Thị xã Kiến Tường",district,,389
1590,"Huyện Tân Hưng",district,,389
1591,"Huyện Vĩnh Hưng",district,,389
1592,"Huyện Mộc Hóa",district,,389
1593,"Huyện Thạnh Hóa",district,,389
1594,"Huyện Đức Huệ",district,,389
1595,"Huyện Đức Hòa",district,,389
1596,"Huyện Bến Lức",district,,389
1597,"Huyện Thủ Thừa",district,,389
1598,"Huyện Tân Trụ",district,,389
1599,"Huyện Cần Đước",district,,389
1600,"Huyện Cần Giuộc",district,,389
1601,"Mỹ Tho",district,,400
1602,"Thị xã Gò Công",district,,400
1603,"Thị xã Cai Lậy",district,,400
1604,"Huyện Tân Phước",district,,400
1605,"Huyện Cái Bè",district,,400
1606,"Huyện Cai Lậy",district,,400
1607,"Huyện Chợ Gạo",district,,400
1608,"Huyện Gò Công Tây",district,,400
1609,"Huyện Gò Công Đông",district,,400
1610,"Huyện Tân Phú Đông",district,,400
1611,"Bến Tre",district,,378
1612,"Huyện Chợ Lách",district,,378
1613,"Huyện Mỏ Cày Nam",district,,378
1614,"Huyện Giồng Trôm",district,,378
1615,"Huyện Bình Đại",district,,378
1616,"Huyện Ba Tri",district,,378
1617,"Huyện Thạnh Phú",district,,378
1618,"Huyện Mỏ Cày Bắc",district,,378
1619,"Trà Vinh",district,,403
1620,"Huyện Càng Long",district,,403
1621,"Huyện Cầu Kè",district,,403
1622,"Huyện Tiểu Cần",district,,403
1623,"Huyện Cầu Ngang",district,,403
1624,"Huyện Trà Cú",district,,403
1625,"Huyện Duyên Hải",district,,403
1626,"Thị xã Duyên Hải",district,,403
1627,"Vĩnh Long",district,,404
1628,"Huyện Long Hồ",district,,404
1629,"Huyện Mang Thít",district,,404
1630,"Huyện  Vũng Liêm",district,,404
1631,"Huyện Tam Bình",district,,404
1632,"Thị xã Bình Minh",district,,404
1633,"Huyện Trà Ôn",district,,404
1634,"Huyện Bình Tân",district,,404
1635,"Cao Lãnh",district,,407
1636,"Sa Đéc",district,,407
1637,"Thị xã Hồng Ngự",district,,407
1638,"Huyện Tân Hồng",district,,407
1639,"Huyện Hồng Ngự",district,,407
1640,"Huyện Tháp Mười",district,,407
1641,"Huyện Cao Lãnh",district,,407
1642,"Huyện Thanh Bình",district,,407
1643,"Huyện Lấp Vò",district,,407
1644,"Huyện Lai Vung",district,,407
1645,"Long Xuyên",district,,374
1646,"Châu Đốc",district,,374
1647,"Huyện An Phú",district,,374
1648,"Thị xã Tân Châu",district,,374
1649,"Huyện Phú Tân",district,,381
1650,"Huyện Châu Phú",district,,374
1651,"Huyện Tịnh Biên",district,,374
1652,"Huyện Tri Tôn",district,,374
1653,"Huyện Thoại Sơn",district,,374
1654,"Rạch Giá",district,,386
1655,"Thị xã Hà Tiên",district,,386
1656,"Huyện Kiên Lương",district,,386
1657,"Huyện Hòn Đất",district,,386
1658,"Huyện Tân Hiệp",district,,386
1659,"Huyện Giồng Riềng",district,,386
1660,"Huyện Gò Quao",district,,386
1661,"Huyện An Biên",district,,386
1662,"Huyện An Minh",district,,386
1663,"Huyện Vĩnh Thuận",district,,386
1664,"Huyện Phú Quốc",district,,386
1665,"Huyện Kiên Hải",district,,386
1666,"Huyện U Minh Thượng",district,,386
1667,"Huyện Giang Thành",district,,386
1668,"Quận Ninh Kiều",district,,382
1669,"Quận Ô Môn",district,,382
1670,"Quận Bình Thuỷ",district,,382
1671,"Quận Cái Răng",district,,382
1672,"Quận Thốt Nốt",district,,382
1673,"Huyện Cờ Đỏ",district,,382
1674,"Huyện Thới Lai",district,,382
1675,"Vị Thanh",district,,371
1676,"Thị xã Ngã Bảy",district,,371
1677,"Huyện Châu Thành A",district,,371
1678,"Huyện Phụng Hiệp",district,,371
1679,"Huyện Vị Thuỷ",district,,371
1680,"Huyện Long Mỹ",district,,371
1681,"Thị xã Long Mỹ",district,,371
1682,"Sóc Trăng",district,,399
1683,"Huyện Kế Sách",district,,399
1684,"Huyện Mỹ Tú",district,,399
1685,"Huyện Cù Lao Dung",district,,399
1686,"Huyện Long Phú",district,,399
1687,"Huyện Mỹ Xuyên",district,,399
1688,"Thị xã Ngã Năm",district,,399
1689,"Thị xã Vĩnh Châu",district,,399
1690,"Huyện Trần Đề",district,,399
1691,"Bạc Liêu",district,,376
1692,"Huyện Hồng Dân",district,,376
1693,"Huyện Phước Long",district,,376
1694,"Huyện Vĩnh Lợi",district,,376
1695,"Thị xã Giá Rai",district,,376
1696,"Huyện Đông Hải",district,,376
1697,"Huyện Hoà Bình",district,,376
1698,"Cà Mau",district,,381
1699,"Huyện U Minh",district,,381
1700,"Huyện Thới Bình",district,,381
1701,"Huyện Trần Văn Thời",district,,381
1702,"Huyện Cái Nước",district,,381
1703,"Huyện Đầm Dơi",district,,381
1704,"Huyện Năm Căn",district,,381
1705,"Huyện Ngọc Hiển",district,,381
